(1) 8.132191, -38.495556 - No Flash
(2) 7.696195, -38.129341 - No Flash
(3) 7.828927, -38.115625 - No Flash
(4) 7.726005, -37.832702 - No Flash
(5) 8.198868, -38.314249 - No Flash
(6) 8.029947, -38.253873 - No Flash
(7) 8.450624, -38.425463 - No Flash
(8) 7.363982, -38.120489 - ~Flash - TimeStamp: 3:20
(9) 7.873306, -39.559389 - No Flash
(10) 7.437095, -39.149232 - Flash - Timestamp: 1:50
(11) 8.644427, -39.103028 - No Flash
(12) 8.387187, -38.251169 - Flash - Timestamp: 0:30
(13) 8.145621, -38.053869 - No Flash
(14) 7.599877, -38.553326 - No Flash
(15) 7.914287, -39.148725 - No Flash
(16) 7.135314, -38.380691 - No Flash
(17) 7.540910, -39.008521 - No Flash
(18) 7.896781, -38.659796 - No Flash
(19) 7.480515, -38.110065 - No Flash
(20) 7.419250, -38.795209 - No Flash
(21) 7.885716, -39.249271 - No Flash
(22) 7.479317, -38.078514 - No Flash
(23) 7.435924, -38.983020 - No Flash
(24) 7.955784, -38.848324 - No Flash
