(1) 57.128684, -28.702534 - No Flash
(2) 57.448929, -29.208782 - Flash - Timestamp: 6:06
(3) 56.822701, -29.711272 - No Flash
(4) 56.519659, -29.545620 - No Flash
(5) 57.297779, -29.030360 - No Flash
(6) 56.489577, -29.382585 - No Flash
(7) 56.511330, -29.479051 - No Flash
(8) 57.649776, -29.347105 - Flash - Timestamp: 4:47
(9) 56.798870, -29.553366 - No Flash
(10) 57.026347, -29.466679 - No Flash
(11) 56.501298, -28.411247 - No Flash
(12) 57.611434, -29.834632 - No Flash
(13) 56.356338, -29.565797 - No Flash
(14) 57.620674, -29.133938 - No Flash
(15) 56.493724, -29.569491 - No Flash
(16) 57.009785, -29.756826 - No Flash
(17) 57.483108, -29.006565 - No Flash
(18) 57.093421, -29.437183 - No Flash
(19) 56.800976, -29.393285 - Flash - Timestamp: 3:24
(20) 56.711073, -29.181054 - No Flash
(21) 56.633318, -29.680126 - No Flash
(22) 56.444163, -29.589677 - No Flash
(23) 57.152503, -29.036395 - No Flash
(24) 56.237416, -29.966821 - No Flash
(25) 56.172042, -28.979221 - No Flash
(26) 56.433488, -28.916278 - No Flash
(27) 56.628685, -28.992203 - No Flash
(28) 56.379843, -29.358067 - No Flash
(29) 56.896507, -28.618361 - No Flash
(30) 56.290775, -29.706478 - No Flash
(31) 56.809786, -29.679997 - No Flash
(32) 56.176301, -29.700721 - No Flash
(33) 57.152769, -30.011509 - No Flash
(34) 57.041537, -29.285493 - No Flash
(35) 56.277038, -29.147690 - No Flash
(36) 56.876677, -29.702747 - No Flash
(37) 55.974481, -29.346460 - No Flash
(38) 56.746103, -28.721251 - No Flash
(39) 57.448927, -29.620322 - No Flash
(40) 57.495139, -29.553466 - No Flash
(41) 57.037541, -29.509003 - No Flash
(42) 56.062157, -28.796307 - No Flash
(43) 57.306645, -29.545871 - Flash - Timestamp: 3:33
(44) 56.945705, -28.893254 - No Flash
(45) 57.109121, -29.516055 - No Flash
(46) 56.376018, -29.642120 - No Flash
(47) 56.865178, -29.076932 - No Flash
(48) 57.018155, -28.685883 - No Flash
(49) 57.266728, -29.205792 - No Flash
